date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:15	7911/7911	---M--	200	added ('OK')	image/png	etag:%221ee7-5c5053f6-d9e6d03e5b72d236;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/c-1.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/c-1.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:16	44387/44387	---M--	200	added ('OK')	image/png	etag:%22ad63-5c5053f8-c5632fa046edcb25;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-2.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-2.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:17	148586/148586	---M--	200	added ('OK')	image/png	etag:%222446a-5bddb93e-3dbc108a097b306e;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g6.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/portfolio/g6.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:18	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%224af4-5bb2520c-9a259428414982fb;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/popper.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/popper.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:20	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%2214983-5c4eca16-f101cd58a83dd1d4;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:21	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22bf30-5bb251f8-bb6e57855347ec16;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/bootstrap.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/bootstrap.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:21	40401/40401	---M-Z	200	added ('OK')	application/javascript	etag:%229dd1-5bb255a6-5cdeb7bfd0361d7f;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/owl.carousel.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/owl.carousel.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:21	81213/81213	---M--	200	added ('OK')	image/png	etag:%2213d3d-5c5053f8-164c149e16a910c9;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-1.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/b-1.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:21	6077/6077	---M-Z	200	added ('OK')	application/javascript	etag:%2217bd-5bb255a6-40c64f3edb5c5f76;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/validator.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/validator.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:21	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:%2220df-5bb255a6-8c512dd0a32d1fe1;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/wow.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/wow.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:22	28935/28935	---M-Z	200	added ('OK')	application/javascript	etag:%227107-5c4ecae8-ca480b11e05c82e;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.mixitup.min.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.mixitup.min.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:22	21102/21102	---M-Z	200	added ('OK')	application/javascript	etag:%22526e-5bc78a36-40ddd6ec7a1a108;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/circle-progress.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/circle-progress.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:16:23	5138/5138	---M-Z	200	added ('OK')	application/javascript	etag:%221412-5c07daf4-907cd0035b409623;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.nav.js	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/js/jquery.nav.js	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
